subject,source,discourse_id,entity_amount,sentence_amount,positive,negative,share_rate
nw,wsj,wsj_1252,36,11,9,11,0.000000
nw,wsj,wsj_1287,94,15,18,2,0.928571
nw,wsj,wsj_1407,81,12,16,4,0.818182
nw,wsj,wsj_1438,83,13,19,1,0.416667
nw,wsj,wsj_1585,72,11,15,5,0.700000
nw,wsj,wsj_2047,59,13,19,1,0.416667
nw,xinhua,chtb_0022,106,11,19,1,0.800000
nw,xinhua,chtb_0047,84,13,19,1,0.916667
nw,xinhua,chtb_0061,79,12,16,4,0.818182
nw,xinhua,chtb_0074,124,12,19,1,0.727273
nw,xinhua,chtb_0091,105,13,15,5,0.666667
nw,xinhua,chtb_0115,116,13,19,1,0.750000
nw,xinhua,chtb_0134,112,15,19,1,0.857143
nw,xinhua,chtb_0163,92,11,18,2,0.600000
nw,xinhua,chtb_0168,81,13,18,2,0.666667
nw,xinhua,chtb_0223,89,11,19,1,0.700000
nw,xinhua,chtb_0241,92,11,19,1,0.700000
nw,xinhua,chtb_0244,98,15,19,1,0.714286
nw,xinhua,chtb_0255,76,14,19,1,0.923077
nw,xinhua,chtb_0262,89,11,19,1,0.700000
nw,xinhua,chtb_0301,77,11,19,1,0.900000
nw,xinhua,chtb_0306,80,15,17,3,0.428571
nw,xinhua,chtb_0311,68,12,19,1,0.636364
nw,xinhua,chtb_0312,94,12,19,1,0.909091
nw,xinhua,chtb_0318,91,14,16,4,0.615385
nw,wsj,wsj_1034,141,18,13,7,0.588235
nw,wsj,wsj_1053,98,20,7,13,0.526316
nw,wsj,wsj_1103,125,19,15,5,0.722222
nw,wsj,wsj_1145,99,19,19,1,0.777778
nw,wsj,wsj_1178,122,16,15,5,0.800000
nw,wsj,wsj_1261,123,18,18,2,0.705882
nw,wsj,wsj_1262,68,19,19,1,0.444444
nw,wsj,wsj_1396,92,17,7,13,0.875000
nw,wsj,wsj_1412,68,18,15,5,0.235294
nw,wsj,wsj_1429,117,20,14,6,0.526316
nw,wsj,wsj_1563,74,19,18,2,0.722222
nw,wsj,wsj_1591,107,17,15,5,0.687500
nw,xinhua,chtb_0008,161,17,19,1,0.750000
nw,xinhua,chtb_0025,61,16,19,1,0.866667
nw,xinhua,chtb_0031,125,16,18,2,0.733333
nw,xinhua,chtb_0035,107,16,7,13,0.666667
nw,xinhua,chtb_0053,66,19,19,1,0.944444
nw,xinhua,chtb_0058,100,16,19,1,0.733333
nw,xinhua,chtb_0071,160,19,19,1,0.722222
nw,xinhua,chtb_0083,99,17,19,1,0.812500
nw,xinhua,chtb_0093,58,17,17,3,0.875000
nw,xinhua,chtb_0136,138,16,19,1,0.933333
nw,xinhua,chtb_0193,151,19,19,1,0.555556
nw,xinhua,chtb_0196,73,16,17,3,0.466667
nw,xinhua,chtb_0216,96,18,15,5,0.647059
nw,xinhua,chtb_0261,74,18,19,1,0.882353
nw,xinhua,chtb_0291,112,18,19,1,0.823529
nw,xinhua,chtb_0294,95,18,19,1,0.764706
nw,xinhua,chtb_0307,84,16,19,1,0.733333
nw,xinhua,chtb_0316,124,18,19,1,0.529412
nw,wsj,wsj_1004,97,22,19,1,0.952381
nw,wsj,wsj_1007,136,22,19,1,0.809524
nw,wsj,wsj_1110,124,24,19,1,0.739130
nw,wsj,wsj_1123,120,22,19,1,0.571429
nw,wsj,wsj_1125,143,24,19,1,0.478261
nw,wsj,wsj_1126,136,22,19,1,0.761905
nw,wsj,wsj_1151,111,24,19,1,0.739130
nw,wsj,wsj_1172,142,24,19,1,0.652174
nw,wsj,wsj_1184,179,25,17,3,0.833333
nw,wsj,wsj_1258,102,21,19,1,0.500000
nw,wsj,wsj_1349,176,23,19,1,0.818182
nw,wsj,wsj_1404,121,21,19,1,0.750000
nw,wsj,wsj_1416,148,21,19,1,0.650000
nw,wsj,wsj_1423,146,24,19,1,0.782609
nw,wsj,wsj_1447,141,22,19,1,0.761905
nw,wsj,wsj_1512,179,25,19,1,0.750000
nw,wsj,wsj_1560,101,24,19,1,0.869565
nw,wsj,wsj_1947,102,23,2,18,0.136364
nw,xinhua,chtb_0013,124,25,19,1,0.958333
nw,xinhua,chtb_0038,152,22,19,1,0.571429
nw,xinhua,chtb_0086,133,21,19,1,0.800000
nw,xinhua,chtb_0096,135,23,19,1,0.636364
nw,xinhua,chtb_0118,133,24,18,2,0.782609
nw,xinhua,chtb_0242,114,21,19,1,0.650000
nw,xinhua,chtb_0251,120,23,19,1,0.772727
nw,xinhua,chtb_0254,159,23,18,2,0.545455
nw,xinhua,chtb_0257,141,25,17,3,0.500000
nw,xinhua,chtb_0267,124,23,17,3,0.727273
nw,xinhua,chtb_0284,109,21,19,1,0.900000
nw,xinhua,chtb_0308,92,23,19,1,0.681818
nw,wsj,wsj_0590,192,30,16,4,0.448276
nw,wsj,wsj_0655,185,28,19,1,0.925926
nw,wsj,wsj_0755,175,30,18,2,0.448276
nw,wsj,wsj_1043,177,30,19,1,0.310345
nw,wsj,wsj_1092,120,29,19,1,0.464286
nw,wsj,wsj_1102,151,29,19,1,0.607143
nw,wsj,wsj_1139,132,27,19,1,0.692308
nw,wsj,wsj_1140,148,30,14,6,0.586207
nw,wsj,wsj_1149,152,28,19,1,0.740741
nw,wsj,wsj_1190,128,28,18,2,0.851852
nw,wsj,wsj_1246,143,28,19,1,0.629630
nw,wsj,wsj_1253,145,28,19,1,0.703704
nw,wsj,wsj_1335,149,28,19,1,0.592593
nw,wsj,wsj_1386,162,30,19,1,0.586207
nw,wsj,wsj_1389,148,29,18,2,0.500000
nw,wsj,wsj_1391,117,29,19,1,0.714286
nw,wsj,wsj_1405,176,29,18,2,0.750000
nw,wsj,wsj_1482,149,26,19,1,0.760000
nw,wsj,wsj_1846,134,27,19,1,0.615385
nw,xinhua,chtb_0024,183,28,19,1,0.666667
nw,xinhua,chtb_0042,154,28,19,1,0.851852
nw,xinhua,chtb_0052,151,26,16,4,0.640000
nw,xinhua,chtb_0068,168,26,19,1,0.840000
nw,xinhua,chtb_0088,170,26,19,1,0.760000
nw,xinhua,chtb_0112,168,28,18,2,0.370370
nw,xinhua,chtb_0143,177,28,18,2,0.851852
nw,xinhua,chtb_0147,164,30,19,1,0.896552
nw,xinhua,chtb_0208,146,26,19,1,0.920000
nw,xinhua,chtb_0252,132,29,19,1,0.607143
nw,xinhua,chtb_0315,117,27,19,1,0.884615
nw,wsj,wsj_0347,255,31,19,1,0.433333
nw,wsj,wsj_0587,272,34,19,1,0.515152
nw,wsj,wsj_1000,180,33,19,1,0.843750
nw,wsj,wsj_1017,270,35,19,1,0.735294
nw,wsj,wsj_1019,182,34,18,2,0.727273
nw,wsj,wsj_1118,133,32,0,20,0.258065
nw,wsj,wsj_1143,205,34,19,1,0.666667
nw,wsj,wsj_1160,169,32,18,2,0.709677
nw,wsj,wsj_1216,250,32,19,1,0.354839
nw,wsj,wsj_1264,160,34,19,1,0.606061
nw,wsj,wsj_1315,151,32,19,1,0.677419
nw,wsj,wsj_1339,132,31,2,18,0.300000
nw,wsj,wsj_1353,267,32,19,1,0.419355
nw,wsj,wsj_1418,162,32,19,1,0.677419
nw,wsj,wsj_1421,151,32,19,1,0.838710
nw,wsj,wsj_1434,141,31,18,2,0.433333
nw,wsj,wsj_1473,230,32,19,1,0.483871
